wave_number,fsc_nomask,fsc_loosemask,fsc_tightmask,fsc_noisesub_raw,fsc_noisesub_true,fsc_noisesub
32.5,0.970615,0.999113,0.999811,0.999807,0.018874,0.999811
33.5,0.963371,0.998926,0.999778,0.999773,0.0215,0.999778
34.5,0.955826,0.998662,0.999741,0.999739,0.005489,0.999741
35.5,0.947787,0.998405,0.999702,0.999704,-0.008668,0.999702
36.5,0.940364,0.998127,0.999661,0.999668,-0.020093,0.999661
37.5,0.931411,0.997753,0.999622,0.999634,-0.035219,0.999622
38.5,0.920961,0.997375,0.999587,0.999599,-0.028062,0.999587
39.5,0.912052,0.996962,0.999545,0.999556,-0.024292,0.999545
40.5,0.902449,0.996846,0.999509,0.999523,-0.027587,0.999509
41.5,0.897711,0.996754,0.999494,0.9995,-0.010962,0.999494
42.5,0.892891,0.996662,0.999456,0.999458,-0.003741,0.999456
43.5,0.883918,0.996479,0.999409,0.999417,-0.013598,0.999409
44.5,0.878076,0.996266,0.999358,0.999366,-0.012793,0.999358
45.5,0.8669,0.996015,0.999315,0.999323,-0.012685,0.999315
46.5,0.84998,0.995757,0.999291,0.999294,-0.004224,0.999291
47.5,0.847865,0.995531,0.999229,0.999242,-0.01714,0.999229
48.5,0.839185,0.995414,0.99918,0.999197,-0.022282,0.99918
49.5,0.82369,0.995135,0.999122,0.999146,-0.028282,0.999122
50.5,0.823416,0.994905,0.999075,0.999103,-0.031645,0.999075
51.5,0.815663,0.994734,0.999036,0.999062,-0.027628,0.999036
52.5,0.80298,0.994545,0.998995,0.999014,-0.0202,0.998995
53.5,0.795101,0.994125,0.99896,0.998982,-0.021363,0.99896
54.5,0.786177,0.993614,0.998891,0.998907,-0.014888,0.998891
55.5,0.777465,0.993176,0.998835,0.998857,-0.019397,0.998835
56.5,0.764818,0.992736,0.998768,0.998783,-0.012046,0.998768
57.5,0.73936,0.992248,0.998701,0.998729,-0.021893,0.998701
58.5,0.719071,0.991869,0.99864,0.998669,-0.022443,0.99864
59.5,0.713866,0.99154,0.998545,0.998579,-0.024202,0.998545
60.5,0.683989,0.990841,0.998391,0.998421,-0.019144,0.998391
61.5,0.659407,0.989985,0.998172,0.998202,-0.016743,0.998172
62.5,0.635066,0.98895,0.997957,0.997984,-0.013276,0.997957
63.5,0.609354,0.987742,0.99772,0.997749,-0.01276,0.99772
64.5,0.580946,0.986303,0.997472,0.997512,-0.015977,0.997472
65.5,0.550009,0.984901,0.997135,0.997185,-0.017958,0.997135
66.5,0.518532,0.983075,0.996705,0.996792,-0.027391,0.996705
67.5,0.48228,0.98127,0.996302,0.99644,-0.038825,0.996302
68.5,0.463058,0.979271,0.99585,0.996014,-0.041103,0.99585
